conversation_id,conversation_statistics_num_turns,conversation_statistics_num_user_turns,conversation_statistics_avg_user_tokens,conversation_statistics_avg_assistant_tokens,conversation_statistics_conversation_lenght_tokens,semantic_coherence_conversation_score,semantic_coherence_semantic_std,semantic_coherence_semantic_min,semantic_coherence_semantic_max,semantic_coherence_semantic_path_lenght,referential_density_references,referential_density_tokens,referential_density_score,topic_continuity_num_topics,topic_continuity_topic_labels,topic_continuity_average_cosine_similarity,topic_continuity_topic_entropy,topic_continuity_topic_switches,topic_continuity_topic_switches_rate,intent_diversity_question_count,intent_diversity_imperative_count,intent_diversity_request_type_entropy,intent_diversity_request_type_distribution_follow_up,intent_diversity_request_type_distribution_question,intent_diversity_request_type_distribution_other,intent_diversity_request_type_distribution_instruction
3aa4d9a649124754a56c5a4b50180786,16,8,74.625,136.625,1690,0.6048551015283177,0.1218585547668052,0.3189727968034089,0.6897747624507903,2.766014289301776,179,1690,0.1059171597633136,2,"[0, 0, 0, 0, 0, 1, 1, 0]",0.6048551015283177,0.8112781244591328,2,0.2857142857142857,4,0,1.5,4.0,2.0,,2.0
4ecb128d8fcf47d8adfb991400da5464,12,6,15.333333333333334,109.66666666666669,750,0.2949477785087449,0.3563452245317001,-0.0755372691394296,0.8646846079525095,3.5252611074562754,13,750,0.0173333333333333,2,"[0, 1, 0, 1, 1, 0]",0.2949477785087449,1.0,4,0.8,4,1,1.2516291673878228,1.0,4.0,,1.0
3b19cfa78fd54762abac1d2cde0cd820,38,19,19.57894736842105,163.42105263157896,3477,0.2045073426710827,0.2353812813175611,-0.0114494713267954,0.759718919250363,14.318867831920508,91,3477,0.0261719873454127,3,"[2, 2, 1, 0, 1, 2, 2, 0, 1, 0, 2, 0, 1, 1, 1, 0, 1, 2, 2]",0.2045073426710827,1.568316493272887,13,0.7222222222222222,3,12,1.312430802347936,4.0,3.0,,12.0
32e49c0f545d42e18aa72ad85e906052,24,12,21.166666666666668,12.916666666666666,409,0.9529419879876716,0.0779357865865633,0.7923630083744936,1.0000000000000004,0.5176381321356118,33,409,0.0806845965770171,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",0.9529419879876716,0.6500224216483541,2,0.1818181818181818,11,0,0.4138168503036338,1.0,11.0,,
b378086a8e3846098303c0aee761c236,12,6,80.5,136.5,1302,0.1541737055404196,0.1859369277958951,-0.145867989515087,0.3415474026246666,4.229131472297903,26,1302,0.0199692780337941,2,"[0, 1, 0, 1, 0, 1]",0.1541737055404196,1.0,5,1.0,3,0,1.0,3.0,3.0,,
ebeb7dabfe8e464f8052b3b183a94477,16,8,26.625,216.125,1942,0.6342910455167327,0.1963543752190699,0.2004565376762966,0.8267246234944664,2.559962681382871,120,1942,0.0617919670442842,2,"[0, 0, 0, 0, 0, 0, 0, 1]",0.6342910455167327,0.5435644431995964,1,0.1428571428571428,4,4,1.75,1.0,4.0,2.0,1.0
e990b02d12204fe696b568a475ef3a7b,10,5,62.4,86.0,742,0.1278630691080862,0.0644538055207459,0.0791381334111544,0.2370096670909513,3.4885477235676547,17,742,0.022911051212938,2,"[1, 0, 0, 1, 0]",0.1278630691080862,0.9709505944546688,3,0.75,3,0,0.9709505944546688,2.0,3.0,,
98c692cc0b4f4f5abc68a1f9b7881c60,20,10,85.8,75.8,1616,0.5889072166979432,0.1889985849476738,0.2063858337020097,0.7989149456454648,3.6998350497185113,108,1616,0.0668316831683168,2,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0.5889072166979432,0.7219280948873623,3,0.3333333333333333,2,0,1.370950594454669,6.0,2.0,2.0,
dc911ad8ae47436883a3b3be18489960,12,6,38.0,292.1666666666667,1981,0.9794168201917576,0.0116470814271608,0.967141261245612,0.9937267898907464,0.1029158990412116,76,1981,0.0383644623927309,2,"[1, 1, 0, 0, 1, 0]",0.9794168201917576,1.0,3,0.6,6,0,0.0,,6.0,,
781aedd1fcb64e7d94f8e7633f45881c,22,11,21.63636363636364,210.54545454545453,2554,0.3232421625327634,0.2923288058417904,-0.0380255867341048,0.9495536554286448,6.767578374672366,116,2552,0.0454545454545454,2,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]",0.3232421625327634,0.8453509366224364,2,0.2,8,2,1.0957952550009338,1.0,8.0,,2.0
e9ee76ce347c4959bfb38899f967394d,16,8,172.375,183.75,2849,0.7036055651855937,0.2499427673418284,0.3095266216733219,0.9677550506776516,2.0747610437008444,284,2848,0.0997191011235955,2,"[0, 0, 0, 0, 0, 0, 0, 1]",0.7036055651855937,0.5435644431995964,1,0.1428571428571428,1,1,1.061278124459133,,1.0,6.0,1.0
c3ef100b9a9e4531b43b98558f7b19a7,12,6,176.83333333333334,126.5,1820,0.6404428274525694,0.2362558730680203,0.3182291758356684,0.8532708548022494,1.7977858627371532,126,1820,0.0692307692307692,2,"[0, 0, 0, 0, 1, 0]",0.6404428274525694,0.6500224216483541,2,0.4,0,1,1.459147917027245,2.0,,3.0,1.0
345d018a781740c985b5c8bdde09dad8,12,6,80.0,390.1666666666667,2821,0.6248984200648658,0.087743901195981,0.5163664795829492,0.7307247847718252,1.8755078996756709,241,2821,0.0854306983339241,2,"[0, 0, 0, 0, 0, 1]",0.6248984200648658,0.6500224216483541,1,0.2,0,2,1.459147917027245,3.0,,1.0,2.0
515f52eb78e34ad8880debd5022a7d1b,16,8,21.125,96.25,939,0.6285626773896922,0.247339000935979,0.2454540178808369,1.0000000000000009,2.600061258272155,82,939,0.0873269435569755,2,"[1, 1, 0, 1, 1, 1, 1, 1]",0.6285626773896922,0.5435644431995964,2,0.2857142857142857,0,5,0.954434002924965,,,5.0,3.0
63b4fb9085c3442f8d4201e91dfffa8b,12,6,180.5,69.5,1500,0.478738705895913,0.0226571998272864,0.4515348899508067,0.508743492710905,2.606306470520435,99,1496,0.0661764705882353,2,"[0, 0, 0, 0, 0, 1]",0.478738705895913,0.6500224216483541,1,0.2,2,0,1.459147917027245,3.0,2.0,1.0,
a3e34e182dea45a1bb415bd3f875b363,10,5,212.2,156.4,1843,0.3390367140925012,0.4002541584491589,0.019281578307051,1.0000000000000009,2.643853143629995,60,1841,0.0325909831613253,2,"[1, 0, 0, 1, 1]",0.3390367140925012,0.9709505944546688,2,0.5,4,0,0.7219280948873623,,4.0,1.0,
b6b46c49de514f15bdb89bbde63d74eb,10,5,30.6,164.6,976,0.3822677280540041,0.1543484496069509,0.2009037931847619,0.6215652842667504,2.470929087783983,37,976,0.0379098360655737,2,"[0, 0, 1, 0, 1]",0.3822677280540041,0.9709505944546688,3,0.75,2,0,0.9709505944546688,3.0,2.0,,
6b6c6733c3a54183bf4d5842cc925320,34,17,44.70588235294117,207.1764705882353,4282,0.2601037151286518,0.1203046746831459,0.0664801194203986,0.4583767254356096,11.83834055794157,107,4278,0.0250116877045348,3,"[1, 2, 2, 1, 1, 2, 0, 2, 2, 1, 2, 2, 0, 0, 2, 1, 2]",0.2601037151286518,1.4466479595102752,11,0.6875,10,0,0.9774178175281716,7.0,10.0,,
f838e4241c80441f972da8358e080f0f,20,10,12.1,109.5,1216,0.4986922208172926,0.2810255981861699,0.0913194419318165,0.8807562375733236,4.511770012644368,51,1216,0.0419407894736842,2,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",0.4986922208172926,0.8812908992306927,1,0.1111111111111111,2,0,0.7219280948873623,2.0,8.0,,
05d8f9daf3ae4503945148d92736cbe5,12,6,19.166666666666668,262.8333333333333,1692,0.2147644577160817,0.0881768434129596,0.078252390698572,0.301995291468362,3.926177711419591,45,1691,0.0266114725014784,2,"[0, 1, 0, 0, 1, 1]",0.2147644577160817,1.0,3,0.6,6,0,0.0,6.0,,,
969c8fbe6a064bf0b06139373a7eba7c,10,5,27.2,277.0,1521,0.3395721418071283,0.1618106629966076,0.1185100924172838,0.5681670419424454,2.6417114327714866,68,1521,0.0447074293228139,2,"[0, 0, 0, 1, 1]",0.3395721418071283,0.9709505944546688,1,0.25,0,0,0.9709505944546688,,2.0,3.0,
d30e0241b02b4bb597484704cd667fa5,28,14,55.21428571428572,109.14285714285714,2301,0.1903707658305714,0.1125741567936047,-0.0498294285231239,0.3042388133553192,10.525180044202571,65,2300,0.0282608695652173,3,"[2, 2, 0, 1, 1, 0, 2, 0, 2, 0, 1, 1, 1, 1]",0.1903707658305714,1.556656707462823,8,0.6153846153846154,6,1,1.2958363892911635,6.0,7.0,,1.0
b08716325e994913bbbb1c7638d13b6f,18,9,24.55555555555556,149.66666666666666,1568,0.5612594626641924,0.2945278073047903,0.1807321115983545,1.0000000000000009,3.509924298686461,145,1568,0.0924744897959183,2,"[1, 1, 1, 0, 1, 1, 1, 1, 0]",0.5612594626641924,0.7642045065086203,3,0.375,6,0,0.9182958340544894,6.0,,3.0,
14ad0517ad074bd49203fd44707e910d,50,25,101.48,259.0,9012,0.4667506705147737,0.2002829167187739,0.0687194031198759,1.0,12.797983907645431,176,9007,0.0195403574997224,4,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 1, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 3, 2, 2]",0.4667506705147737,1.24151018873626,7,0.2916666666666667,7,0,1.5166238110793633,7.0,12.0,6.0,
